loan_word;puris_equivalent
abalienabel;ontvreemdtbaar, vervreemdtbaar
abaliënatie;ontvreemding, vervreemding
abaliëneren;ontvreemden, vervreemden
abandon;verlaating
abandonneren;verlaaten, opgeeven, begheeven, laaten vaaren
abbrege;verkortsel, kortbegrijp
abbregeren;verkorten, inkorten
abbreviatie;afkorting, verkorting
abbreviature;verkortsel
abbrevieren;verkorten
abderen;verberghen, berghen, schuilen, verschuilen
abdiceren;ontzegghen, afzegghen, opzegghen
abdije;klooster
abdisse;kloostermoeder, kloostervooghdes
abduceren;afleiden, aftrekken, afvoeren
abductie;afleiding, afvoering
aberratie;afdwaaling
aberreren;afdwaalen, verdoolen
abhorreren;afshrikken
abigeren;weghdrijven, ontvoeren, verstouwen
abject;verworpen, veracht
abjectie;verwerping, weghwerping
abjiciëren;weghwerpen, verwerpen
abjudicatie;afwijzing, ontwijzing
abjudiceren;afwijzen, ontwijzen
abjunctie;afvoeghingh, afscheiding
abjungeren;afvoeghen, afscheiden, afdeelen, scheiden
abjuratie;afzweering
abjureren;afzweeren, ontzweeren
ablactatie;speening
ablacteren;speenen, spaanen
ablatie;ontneeming, weghneeming, afdraaghing
ablegatie;zending, afzending
ablegeren;afzenden, weghstieren
abluëren;afwasschen, reinighen
ablutie;afwaschsing
abmissie;verzending
abmitteren;weghschikken, verzenden
abnegatie;verloochening
abnegeren;loochenen, ontzegghen, verzaaken
abnorm;ongheschikt, ongherijmdt
abnuëren;afwenken, ontzegghen
abnunciatie;afkunding
abnunciëren;afkundighen
aboleren;verdelghen, vernielen, vernietighen, te niet doen
abolitie;vernietighing, verdelghing
abolitie-brieven;verniet-brieven
abominabel;ghruwelijk, yslijk, verfoeylijk
abominatie;ghruwel, afschrik, verfoeying
abomineren;verfoeyen, afschrik hebben
abondant;overvloedigh
abondantie;overvloedigheydt
abonderen;overvloeyen
abord;aanspraak, anrading, anboordtlegging, ankomst
aborderen;anranden, anboordtlegghen
aborsie;anrantsing
abortie;misbaaring, misval, miskraam
abortiëren;misdraght baaren, misbaaren, misdraaghen, misvallen, miskraam hebben
abortif;misdraght, doode vrucht, storting, stortgheboorte
aboucheren;toespreeken
abraderen;afschrabben, afknaaghen, afschaaven
abrasie;afschrabbing, afknaaging
abregé;verkortsel, kort begrijp
abregeren;verkorten
abrenuntiatie;afzweering
abrenuntiëren;afzweeren
abreptie;weghrukking, afrukking
abripiëren;weghrukken, ontrukken, schaaken
abrogatie;afschaffing
abrogeren;afschaffen
abrumperen;afbreeken
abrupt;plotselijk, afghebroken
abruptie;afbreeking
abscederen;afscheiden, afwijken, ontwijken
absces;ettergheswel
abscessie;weghgaaning
abscinderen;afsnijden, afhouwen
abscissie;afsnijding
absconderen;weghduiken, ontschuilen, verberghen
absconsie;verberging, verschuiling
absent;afweezende, afweezigh, niet tegenwoordigh
absenteren;af zijn, afterblijven, zich t’zoek maaken, verborgen houden
absentie;afweezendheidt, afweezigheidt, af zijn, afweezen
absolut;onbepaalt, platuit, voluit, volstrekt, ronduit, volkomen
absolutelijk;volkomentlijk, volstrektlijk
absolutie;afdoening, vrykenning, lossing, ontslaaning, vryspreeking
absolveren;volvoeren, voltrekken, vry kennen, afdoen, ontslaan, lossen, vryspreken
absorberen;opslokken, inslorpen, verslinden
abstergeren;afvaaghen, afwissen, dwaën
absterreren;afschrikken
abstersie;afwissching, afvaaghing
abstersif;afvaagheyt, afwisschend
abstinentie;onthouding, ofhouding
abstineren;onthouden, spaanen
abstract;afghetrokken
abstractie;aftrekking
abstraheren;ontrekken, aftrekken
abstruderen;verstooten, afstooten
abstrusie;afstooting
absumeren;verdoen, verteeren
absumtie;verdoening, verteering
absurd;ongherijmt, wanschiklijk
absurditeit;ongherijmdheidt
abt;klooster-vader, kloostervoogdt
abundant;ziet abondant
abundantie;ziet, abondatie
abunderen;ziet abonderen
abus;misbruik, mislagh, verzinning, wanghebruik, misbruiking
abuseren;misbruiken, misleiden, verzinnen, verghrijpen, verghissen
abusif;abusivelijk, door misbruik, by misbruiking, tegen ’t gebruik, oneigentlijck
academie;opperschool, landtschool, hoogheschool, hoofdtschool, schouwburg
accablement;overstelping, overvalling
accableren;verdrukken, overstolpen
accederen;bykomen, ankomen, ghenaaken
acceleratie;haasting, spoedingh
accelereren;spoeden, haasten
accenderen;ontsteeken, ansteeken
accenseren;byreekenen, byachten, byhouden, schatten
accensie;ansteeking, ontsteeking
accent;woordtklank, ghalm, toezang, byklank, byghalm
acceptant;anvaarder, anneemer
acceptatie;anvaerding, anneeming
accepteren;anvaerden, anneemen, t’zijnen voordeele anvaerden
accepteur;anvaerder
acceptie;ontfanging, anneeming
acceptilatie;ontfanghbrief, quijtbrief, quijtschelding, byschenking
accerseren;daghvaarden, daagen, haalen
acces;toeghang, anghang
accesseur;bykomer in ’t vonnissen, byrechter
accessibel;accessoir, toeghankelijk, bykomelijk bykoomende, bykomstig
accessie;bykoming, byval, bykomst
accident;toeval, voorval, byval, ankleef
accidenteel;toevalligh, ghevalligh
accideren;toevallen, voorvallen, byvallen, ghebeuren
accijs;tol
accijsener;tollener
accinctie;anghording
accingeren;anghorden, omghorden
accipiëren;ontfangen, anvaarden
acclamatie;toeroeping, toejuyching
acclameren;toeroepen
accoinctantie;ghemeenzaamheidt
accollade;omhelzing
accolladeren;omhelsen
accomberen;anligghen, anzitten, gheligghen
accommodaat;ghevoeglijck
accommodabel;behulpzaam, gherievelijk, ghemakkelijk
accommodabiliteit;behulpsaamheydt
accommodatie;gherieving, toepassing, schikking, byvoeging
accommoderen;voegen, gevoeghen, gerieven, toepassen, behulpzaam zijn, schikken
accompagneren;verzelschappen
accompleren;volbrengen, nakomen
accomplissement;volbrenging, voltrekking, vervulling
accord;verdragh, overeenstemming, vereeniging, overeenkomst
accordabel;verdraagbaar, gezeggelijk
